ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
93	対象文	ジュリアの部屋のドアの内側から鍵がかかっていた。			There was a lock from the inside of bedroom of Julia door.			江上
	Type							江上
	情報源	〇〇の△△への発言	ヘレン,検視官		Speech to Helen of coroner			江上
	hasProperty	鍵がかかっていた	施錠		lock			江上
	主語/Who（誰が）	ジュリアの部屋のドア	ジュリアの部屋のドア		door of bedroom of Julia		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）				death day of Julia	1881-12-02T00		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）	内側から	内側から		bedroom of Julia		Place	江上
	その他の修飾							江上
	関連する文							江上
94	対象文	ヘレンはジュリアの部屋のドアの内側から鍵がかかっていたことを証言した。			Helen testified that the lock was locked from inside the door of bedroom of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	証言した	証言する		testified			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）	検視官	検視官		coroner		Person	江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T09		江上
	What（何を）			93				江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
95	対象文	ジュリアの部屋の窓には旧式の鎧戸が付いている。			bedroom of Julia window has an old-fashioned door.			江上
	Type							江上
	情報源							江上
	hasPredicate	付いている	付く		have			江上
	主語/Who（誰が）	ジュリアの部屋の窓	ジュリアの部屋の窓		window of bedroom of Julia		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T00		江上
	What（何を）	旧式の鎧戸	鎧戸		shutter		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾	旧式の	旧式の		old-fashioned			江上
	関連する文							江上
96	対象文	ジュリアの部屋の窓は夜にはいつも太い鉄の棒をはめて閉ざしている。			bedroom of Julia window is always closed with a thick iron stick at night.			江上
	Type							江上
	情報源							江上
	hasProperty	閉ざしている	閉じる		close			江上
	主語/Who（誰が）	ジュリアの部屋の窓	ジュリアの部屋の窓		window of bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	夜	夜		night			江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）	太い鉄の棒をはめて	太い鉄の棒をはめる		with a thick iron rod		Object	江上
	その他の修飾							江上
	関連する文							江上
97	対象文	ヘレンはジュリアの部屋の四方の壁を全部叩いて調べた。			Helen looked at all the walls of bedroom of Julia by hitting it.			江上
	Type							江上
	情報源							江上
	hasPredicate	調べた	調べる		investigate			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T09		江上
	What（何を）	ジュリアの部屋の四方の壁	ジュリアの部屋の四方の壁		four walls of bedroom of Julia		Object	江上
	Why（なぜ）							江上
	How（どのように）	叩いて	叩く		by hitting			江上
	その他の修飾							江上
	関連する文		then	99				江上
98	対象文	ジュリアの部屋の四方の壁はしっかり堅い。			The walls of Julia 's four sides are tight.			江上
	Type							江上
	情報源							江上
	hasProperty	堅い	堅い		hard			江上
	主語/Who（誰が）	ジュリアの部屋の四方の壁	ジュリアの部屋の四方の壁		four walls of bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾	しっかり	しっかり		tightly			江上
	関連する文							江上
99	対象文	ヘレンはジュリアの部屋の床もつぶさに調べた			Object			江上
	Type							江上
	情報源							江上
	hasPredicate	調べた	調べる		investigate			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T09		江上
	What（何を）	ジュリアの部屋の床	ジュリアの部屋の床		floor of bedroom of Julia		Object	江上
	Why（なぜ）							江上
	How（どのように）	つぶさに	つぶさに		specifically			江上
	その他の修飾							江上
	関連する文							江上
100	対象文	ジュリアの部屋の床はしっかり堅い。			bedroom of Julia's floor is tight.			江上
	Type							江上
	情報源							江上
	hasProperty	堅い	堅い		hard			江上
	主語/Who（誰が）	ジュリアの部屋の床	ジュリアの部屋の床		floor of bedroom of Julia		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾	しっかり	しっかり		tightly			江上
	関連する文							江上
101	対象文	ジュリアの部屋の煙突は太い。			The chimney in bedroom of Julia is fat.			江上
	Type							江上
	情報源							江上
	hasProperty	太い	太い		thick			江上
	主語/Who（誰が）	ジュリアの部屋の煙突	ジュリアの部屋の煙突		chimney of bedroom of Julia		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
102	対象文	ジュリアの部屋の煙突の内部に釘が四本も横に通してある。			There are also four nails passing through the chimney in bedroom of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	通してある	通す		exist			江上
	主語/Who（誰が）	釘が四本も	四本の釘		four nails		Object	江上
	Whom（誰に）	ジュリアの部屋の煙突の内部	ジュリアの部屋の煙突の内部					江上
	Where（どこで）				chimney of bedroom of Julia		Object	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T00		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）	横に	横に		horizontally			江上
	その他の修飾							江上
	関連する文							江上
103	対象文	事件当夜，ジュリアは部屋にひとりだった。			Julia was alone in the bedroom on death day of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	ひとりだった	存在する		exist			江上
	主語/Who（誰が）	ジュリア	ジュリア		Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	事件当夜	事件当夜		death day of Julia	1881-12-02T00		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）	ひとり	ひとり		alone			江上
	その他の修飾							江上
	関連する文							江上
104	対象文	ジュリアの体には傷痕がない。			Julia's body has no scar.			江上
	Type							江上
	情報源							江上
	hasPredicate	ない	not存在する		notHave			江上
	主語/Who（誰が）	傷跡	傷跡		Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの体	ジュリアの体		body of Julia		Object	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T00		江上
	What（何を）				scar		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
105	対象文	ジュリアの体から毒は見つからなかった。			I could not find poison from Julia's body.			江上
	Type							江上
	情報源							江上
	hasPredicate	見つからなかった	not存在する		notFind			江上
	主語/Who（誰が）	毒	毒		coroner			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの体	ジュリアの体		body of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T09		江上
	What（何を）				poison		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
106	対象文	ヘレンはジュリアが激しい恐怖で死んだと思っている。			Helen thinks Julia died of heavy fear.			江上
	Type							江上
	情報源	〇〇の考え	ヘレン		Idea of Helen			江上
	hasPredicate	死んだ	死ぬ		die			江上
	主語/Who（誰が）	ヘレン	ヘレン		Julia			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T10		江上
	What（何を）							江上
	Why（なぜ）	激しい恐怖	激しい恐怖		intense fear		Object	江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
107	対象文	事件当夜，ロマは敷地の中にいた。			On death day of Julia, Roma was in the premises.			江上
	Type							江上
	情報源							江上
	hasPredicate	いた	存在する		exist			江上
	主語/Who（誰が）	ロマ			Roma			江上
	Whom（誰に）							江上
	Where（どこで）	敷地の中	敷地の中		garden of Roylott			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	事件当夜	事件当夜		death day of Julia	1881-12-02T00		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
108	対象文	多くのロマは頭に水玉の模様があるハンカチーフを巻いている。			Many Roma have a handkerchief with a pattern of polka dots on their heads.			江上
	Type							江上
	情報源							江上
	hasPredicate	巻いている	巻く		have			江上
	主語/Who（誰が）	ロマ	ロマ		Roma			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T00		江上
	What（何を）	ハンカチーフ	ハンカチーフ		handkerchief of Roma		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
109	対象文	多くのロマは頭に水玉の模様があるハンカチーフを巻いている。			Many Roma have a handkerchief with a pattern of polka dots on their heads.			江上
	Type							江上
	情報源							江上
	hasProperty	水玉の模様	水玉の模様		speckled		Object	江上
	主語/Who（誰が）	ハンカチーフ	ハンカチーフ		handkerchief of Roma			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1881-12-02T00		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
110	対象文	一ヶ月前，パーシィ・アーミティッジはヘレンに結婚を申し込んだ。			A month ago, Parsi Armitage applied for Helen to marry.			江上
	Type							江上
	情報源							江上
	hasPredicate	申し込んだ	申し込む		give			江上
	主語/Who（誰が）	パーシィ・アーミティッジ	パーシィ・アーミティッジ		Percy Armitage		Person	江上
	Whom（誰に）	ヘレン	ヘレン		Helen			江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	一ヶ月前	一ヵ月前		one month ago	1883-03-01T10		江上
	What（何を）	結婚	結婚		marriage		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
111	対象文	パーシィ・アーミティッジはクレイン・ウォータに住んでいる。			Persea Armitage lives in Crain Water.			江上
	Type							江上
	情報源							江上
	hasPredicate	住んでいる	住む		live			江上
	主語/Who（誰が）	パーシィ・アーミティッジ	パーシィ・アーミティッジ		Percy Armitage			江上
	Whom（誰に）							江上
	Where（どこで）	クレイン・ウォータ			Crane Water		Place	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-03-01T10		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
112	対象文	ヘレンとパーシィ・アーミティッジは春のうちに式を挙げる			Helen and Persea Armitage are celebrating the ceremony in the spring			江上
	Type							江上
	情報源							江上
	hasPredicate	挙げる	挙げる		getMarried			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	主語/Who（誰が）	パーシィ・アーミティッジ	パーシィ・アーミティッジ		Percy Armitage			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	春のうち	春		spring	1883-05-01T10	AbstractTime	江上
	What（何を）	式	結婚式					江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
113	対象文	ロイロット博士はヘレンとパーシィ・アーミティッジの結婚に反対しない。			 Roylott is not opposed to the marriage between Helen and Persie Armitage.			江上
	Type							江上
	情報源							江上
	hasPredicate	反対しない	not反対する		notOppose			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T10		江上
	What（何を）			112	wedding of Helen		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
114	対象文	昨日から屋敷で西棟の修理が始まった。			The repair of the West building began yesterday.			江上
	Type							江上
	情報源							江上
	hasProperty				repair			江上
	主語/Who（誰が）	西棟	西棟		west building of mansion of Roylott		Object	江上
	Whom（誰に）							江上
	Where（どこで）	屋敷	屋敷					江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	昨日から	昨日		since yesterday	1883-03-31T10		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾	修理が始まった	修理					江上
	関連する文							江上
115	対象文	ヘレンの寝室の壁に穴が空いた。			There was a hole in the wall of bedroom of Helen.			江上
	Type							江上
	情報源							江上
	hasProperty	穴が空いた	穴		beBroken			江上
	主語/Who（誰が）	ヘレンの寝室の壁	ヘレンの寝室の壁		wall of bedroom of Helen		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-03-31T10		江上
	What（何を）							江上
	Why（なぜ）			114				江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
116	対象文	そのため、ヘレンはジュリアの部屋へ移った。			Therefore, Helen moved to bedroom of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	移った	移る		come			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	ヘレンの部屋	ヘレンの部屋		bedroom of Helen			江上
	To（どこへ）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	When（いつ）					1883-03-31T10		江上
	What（何を）							江上
	Why（なぜ）			115				江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
117	対象文	ヘレンは昨夜恐ろしくてふるえた。			Helen looked horrible last night.			江上
	Type							江上
	情報源							江上
	hasPredicate	ふるえた	ふるえる		beScared			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	昨夜	昨夜		last night	1883-03-31T23		江上
	What（何を）							江上
	Why（なぜ）	恐ろしくて	恐ろしくて					江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
118	対象文	昨夜真夜中，ヘレンは低い口笛を聞いた。			Last night at midnight Helen heard a low whistle.			江上
	Type							江上
	情報源							江上
	hasPredicate	聞いた	聞く		hear			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	昨夜真夜中	昨夜の真夜中		last night	1883-03-31T23		江上
	What（何を）	低い口笛	低い口笛		whistle			江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
119	対象文	ヘレンは飛び起きた。			Helen jumped up.			江上
	Type							江上
	情報源							江上
	hasPredicate	飛び起きた	飛び起きる		wakeUp			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）				last night	1883-03-31T23		江上
	What（何を）							江上
	Why（なぜ）			118				江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	120				江上
120	対象文	ヘレンはランプをつけた。			Helen turned on the lamp.			江上
	Type							江上
	情報源							江上
	hasPredicate	つけた	点ける		turnOn			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-03-31T23		江上
	What（何を）	ランプ	ランプ		lamp		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	121				江上
121	対象文	ジュリアの部屋には何も見当たらなかった。			Nothing was found in bedroom of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	何も見当たらなかった	not存在する		cannotFind			江上
	主語/Who（誰が）	何も			Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-03-31T23		江上
	What（何を）				objects		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	122				江上
122	対象文	ヘレンは着替えた。			Helen has changed clothes.			江上
	Type							江上
	情報源							江上
	hasPredicate	着替えた	着替える		change			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-03-31T23		江上
	What（何を）				clothes		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	123				江上
123	対象文	ヘレンは夜明けに家を抜け出した。			Helen went out of the house at dawn.			江上
	Type							江上
	情報源							江上
	hasPredicate	抜け出した	抜け出す		go			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	家	家		mansion of Roylott		Object	江上
	To（どこへ）	クラウン・イン	クラウン・イン		Crown Inn		Place	江上
	When（いつ）	夜明け	夜明け		early morning	1883-04-01T06		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	124				江上
124	対象文	ヘレンはクラウン・インで二輪馬車を頼んだ。			Helen asked for a motorcycle at Crown Inn.			江上
	Type							江上
	情報源							江上
	hasPredicate	頼んだ	頼む		have			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	クラウン・イン	クラウン・イン		Crown Inn			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T06		江上
	What（何を）	二輪馬車	二輪馬車		two-wheeled coach		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	127				江上
125	対象文	クラウン・インは旅館。			Crown Inn is a ryokan.			江上
	Type							江上
	情報源							江上
	hasProperty	旅館	旅館		hotel		Place	江上
	主語/Who（誰が）	クラウン・イン	クラウン・イン		Crown Inn			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
126	対象文	クラウン・インは屋敷の向かいにある。			Crown Inn is opposite the mansion.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		exist			江上
	主語/Who（誰が）	クラウン・イン	クラウン・イン		Crown Inn			江上
	Whom（誰に）							江上
	opposite	屋敷の向かい	屋敷の向かい		mansion of Roylott		Place	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
127	対象文	ヘレンはレザヘッド駅へ駆けつけた。			Helen ran to Leatherhead Station			江上
	Type							江上
	情報源							江上
	hasPredicate	駆けつけた	駆けつける		go			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	クラウン・イン	クラウン・イン		Crown Inn			江上
	To（どこへ）	レザヘッド駅	レザヘッド駅		Leatherhead station		Place	江上
	When（いつ）					1883-04-01T07		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）	二輪馬車	二輪馬車		two-wheeled coach			江上
	その他の修飾							江上
	関連する文							江上
128	対象文	ヘレンは今朝、ホームズのもとへ参る。			Helen comes to Holmes this morning.			江上
	Type							江上
	情報源							江上
	hasPredicate	参る	参る		come			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）	レザヘッド駅	レザヘッド駅		Leatherhead station			江上
	From（どこから）	ホームズのもと	ホームズの部屋		Holmes			江上
	To（どこへ）							江上
	When（いつ）	今朝	今朝		this morning	1883-04-01T10		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
129	対象文	ヘレンの手首には5本指でつけた青痣が残されていた。			Herring's wrist had left five blue fingers with a finger.			江上
	Type							江上
	情報源							江上
	hasPredicate	残されていた	残される		have			江上
	主語/Who（誰が）	ヘレンの手首	ヘレンの手首		Helen			江上
	Whom（誰に）	ロイロット博士	ロイロット博士					江上
	Where（どこで）				wrist of Helen		Place	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T10		江上
	What（何を）	青痣	青痣		bruise of fingers of Roylott		Object	江上
	Why（なぜ）			130				江上
	How（どのように）	5本指でつけた	5本指でつけた					江上
	その他の修飾							江上
	関連する文							江上
130	対象文	ロイロット博士はすぐに手の出る人。			Roylott is a person who gets mad easily.			江上
	Type							江上
	情報源							江上
	hasProperty	すぐに手の出る人	すぐに手の出る人		getAnger			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
131	対象文	ホームズは今日ストーク・モランへ出向くことをヘレンに提案した。			Holmes suggested Helen to go to Stoke Moran today.			江上
	Type							江上
	情報源							江上
	hasPredicate	提案した	提案する		propose			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）	ヘレン	ヘレン		Helen			江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T10		江上
	What（何を）			132				江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	135				江上
132	対象文	ホームズとワトソンは今日の昼過ぎにストーク・モランへ出向く			Holmes goes to Stoke Moran this afternoon.			江上
	Type							江上
	情報源							江上
	hasPredicate	出向く	出向く		go			江上
	主語/Who（誰が）	ワトソン	ワトソン		Watson		Person	江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes		Person	江上
	Whom（誰に）							江上
	Where（どこで）	ストーク・モラン	ストーク・モラン		Stoke Moran			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	今日の昼過ぎ	今日の昼過ぎ		this afternoon	1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
133	対象文	ロイロット博士は今日ロンドンへ出る。			Roylott goes to London today.			江上
	Type							江上
	情報源	〇〇の発言	ヘレン		Remark by Helen			江上
	hasPredicate	出る	出る		go			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	屋敷	屋敷		mansion of Roylott			江上
	To（どこへ）	ロンドン	ロンドン		London		Place	江上
	When（いつ）	今日	今日		today	1883-04-01T10		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
134	対象文	ロイロット博士は今日の日中は留守にしている。			Roylott is out of the mansion today.			江上
	Type							江上
	情報源	〇〇の発言	ヘレン		Remark by Helen			江上
	hasPredicate	留守にしている	留守にする		notExist			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）				mansion of Roylott			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	今日の日中	今日の日中		today	1883-04-01T14		江上
	What（何を）	屋敷	屋敷					江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
135	対象文	ヘレンはホームズの提案を承諾した。			Helen accepted Holmes's proposal.			江上
	Type							江上
	情報源							江上
	hasPredicate	承諾した	承諾する		accept			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T10		江上
	What（何を）			132				江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
136	対象文	ヘレンは退室した。			Helen left the Holmes's house.			江上
	Type							江上
	情報源							江上
	hasPredicate	退室した	退室する		go			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	ホームズのもと	ホームズの部屋		house of Holmes		Place	江上
	To（どこへ）				Stoke Moran			江上
	When（いつ）					1883-04-01T11		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
137	対象文	ロイロット博士はホームズのもとへ訪ねて来た。			Roylottt visited Holmes.			江上
	Type							江上
	情報源							江上
	hasPredicate	来た	来る		come			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	屋敷	屋敷		mansion of Roylott			江上
	To（どこへ）	ホームズのもと	ホームズの部屋		house of Holmes		Place	江上
	When（いつ）					1883-04-01T12		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	139				江上
138	対象文	ロイロット博士はヘレンをつけてきた。			Roylott traced Helen.			江上
	Type							江上
	情報源							江上
	hasPredicate	つけてきた	つけてくる		trace			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）	ヘレン	ヘレン		Helen			江上
	Where（どこで）							江上
	From（どこから）	屋敷	屋敷		mansion of Roylott			江上
	To（どこへ）	ホームズの部屋	ホームズの部屋		house of Holmes			江上
	When（いつ）					1883-04-01T06		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
139	対象文	ロイロット博士はヘレンの話した内容をホームズに聞いた。			Roylott asked Holmes what Helen talked about.			江上
	Type							江上
	情報源							江上
	hasPredicate	聞いた	聞く		query			江上
	主語/Who（誰が）	ロイロット博士	ロイロット博士		Roylott			江上
	Whom（誰に）	ホームズ	ホームズ		Holmes			江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T12		江上
	What（何を）	ヘレンの話した内容	ヘレンの話した内容		story of Helen		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	140				江上
140	対象文	ホームズはロイロット博士の質問をはぐらかした。			Holmes did not answer to  Roylott 's question.			江上
	Type							江上
	情報源							江上
	hasPredicate	はぐらかした	はぐらかす		notAnswer			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）	ロイロット博士	ロイロット博士		Roylott			江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T12		江上
	What（何を）	質問	質問		question of Roylott		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
